brand,model,city,km,price
2015 Honda,CR-V,Pincourt · QC,211737.0,14495.0
2020 Hyundai,Kona,Blainville · QC,59842.0,18987.0
2009 Chevrolet,Corvette,Saint-Hyacinthe · QC,114622.0,34495.0
2019 Volkswagen,Golf Gti,Laval · QC,53016.0,26299.0
2020 Volkswagen,Golf,Saint-Eustache · QC,89766.0,23995.0
2022 Honda,Civic,Saint-Hubert · QC,51255.0,27999.0
2020 Hyundai,Kona,Saint-Eustache · QC,60484.0,22495.0
2021 Ford,EDGE,Laval · QC,40383.0,26999.0
2017 Dodge,Grand Caravan,Laval · QC,73099.0,21499.0
2021 Mitsubishi,RVR,Saint-Hubert · QC,91268.0,20499.0
2019 Hyundai,Elantra Gt,Brossard · QC,95172.0,17985.0
2021 Toyota,Corolla,Saint-Hubert · QC,80940.0,24449.0
2014 Honda,Civic Sedan,Pincourt · QC,70522.0,15490.0
2015 Mitsubishi,Lancer Sportback,Pincourt · QC,107280.0,10999.0
2015 Mazda,Mazda3,Saint-Hyacinthe · QC,121579.0,12994.0
2019 Chevrolet,Silverado 1500 LD,Granby · QC,113200.0,29988.0
2020 Chevrolet,Blazer,Saint-Hubert · QC,73411.0,30499.0
2020 Mitsubishi,RVR,Brossard · QC,17118.0,25445.0
2021 Subaru,Crosstrek,Laval · QC,47045.0,24299.0
2021 Toyota,Prius,Saint-Hubert · QC,95300.0,26999.0
2021 Chevrolet,Spark,Saint-Hubert · QC,87912.0,19949.0
2016 Mercedes-Benz,CLA45,Cowansville · QC,63296.0,37384.0
2010 Porsche,911,Cowansville · QC,70210.0,76984.0
2020 Mitsubishi,Eclipse Cross,Saint-Hubert · QC,45735.0,22499.0
2007 Hyundai,Santa Fe,Granby · QC,195195.0,4995.0
2022 Hyundai,Venue,Cowansville · QC,11388.0,24984.0
2020 Honda,CR-V,Cowansville · QC,22043.0,33984.0
2021 Kia,Forte,Laval · QC,84164.0,22999.0
2023 Jeep,Wrangler 4xe,Brossard · QC,10000.0,64985.0
2013 Mazda,MAZDA6,Pincourt · QC,151855.0,8499.0
2018 Kia,Sorento,Saint-Jerome · QC,74522.0,18895.0
2022 Nissan,Sentra,Laval · QC,24619.0,24949.0
2020 Chevrolet,Bolt EV,Saint-Hubert · QC,48447.0,21999.0
2023 Toyota,RAV4 Hybrid,Granby · QC,19521.0,44995.0
2022 Hyundai,Kona,Saint-Hubert · QC,76114.0,23999.0
2017 Porsche,Cayenne,Pincourt · QC,151407.0,27043.0
2015 Kia,Soul,Pincourt · QC,142432.0,12888.0
2020 Honda,CR-V,Laval · QC,71004.0,29499.0
2020 Gmc,Sierra 1500,Granby · QC,116000.0,45988.0
2016 Jeep,Wrangler,Saint-Eustache · QC,146887.0,25997.0
2022 Chevrolet,BOLT EV 1LT,Pincourt · QC,42679.0,29937.0
2019 Toyota,Corolla,Pincourt · QC,31870.0,20990.0
2020 Mercedes-Benz,A-Class,Cowansville · QC,53834.0,31995.0
2023 Genesis,G70,Brossard · QC,13685.0,53475.0
2021 Mazda,Mazda3 Sport,Pincourt · QC,92555.0,23977.0
2022 Jeep,Cherokee,Saint-Jerome · QC,39440.0,35955.0
2022 Hyundai,Elantra,Laval · QC,33171.0,25999.0
2018 Ford,Mustang,Saint-Hubert · QC,21838.0,29999.0
2022 Hyundai,Elantra Hybrid,Brossard · QC,31500.0,31985.0
2017 Honda,Odyssey,Pincourt · QC,169676.0,21995.0
2011 Infiniti,G37,Cowansville · QC,132229.0,13984.0
2016 Mazda,CX-3,Saint-Hubert · QC,86277.0,17999.0
2020 Toyota,Corolla,Saint-Hubert · QC,19591.0,23999.0
2021 Ford,EcoSport,Pincourt · QC,48971.0,22798.0
2021 Mazda,CX-3,Pincourt · QC,36555.0,19977.0
2018 Nissan,Leaf,Laval · QC,105341.0,16499.0
2022 Kia,Sorento,Saint-Jerome · QC,42952.0,38895.0
2022 Mitsubishi,Outlander,Blainville · QC,19775.0,31441.0
2020 Honda,CR-V,Saint-Hubert · QC,69148.0,29499.0
2014 Ford,Fourgon Econoline,Drummondville · QC,228610.0,14995.0
2021 Kia,Soul,Saint-Hubert · QC,126335.0,19449.0
2020 Bmw,X2,Saint-Hubert · QC,80007.0,29949.0
2019 Kia,Sorento,Saint-Eustache · QC,118197.0,27995.0
2016 Honda,Civic,Laval · QC,113439.0,17449.0
2019 Mazda,Mazda3,Laval · QC,36019.0,20999.0
2021 Toyota,Corolla,Saint-Hubert · QC,64959.0,22999.0
2019 Toyota,Corolla Hatchback,Saint-Hubert · QC,99741.0,20499.0
2019 Nissan,Rogue,Saint-Eustache · QC,72000.0,22995.0
2021 Toyota,RAV4,Saint-Jerome · QC,79558.0,33985.0
2018 Dodge,Durango,Saint-Hubert · QC,66761.0,38949.0
2021 Dodge,Charger,Saint-Hubert · QC,77496.0,31999.0
2016 Chevrolet,Cruze,Saint-Hubert · QC,39015.0,14499.0
2018 Buick,Envision,Laval · QC,98656.0,22999.0
2018 Honda,Civic Hatchback,Saint-Hubert · QC,71927.0,21449.0
2024 Hyundai,Tucson Plug-In Hybrid,Brossard · QC,5155.0,51985.0
2022 Chevrolet,Malibu,Granby · QC,22317.0,26988.0
2018 Ford,Mustang,Brossard · QC,23956.0,31985.0
2017 Nissan,Rogue,Laval · QC,143338.0,16949.0
2019 Subaru,Impreza,Saint-Jerome · QC,72852.0,18985.0
2021 Bmw,X5,Blainville · QC,33000.0,59950.0
2016 Toyota,Corolla,Montreal · QC,87095.0,17900.0
2021 Toyota,RAV4,Laval · QC,107571.0,28999.0
2022 Hyundai,Tucson,Brossard · QC,38985.0,32485.0
2018 Volvo,XC60,Saint-Hubert · QC,116904.0,26499.0
2021 Chrysler,Pacifica,Laval · QC,86453.0,31499.0
2019 Ford,Expedition,Granby · QC,138000.0,43988.0
2019 Buick,Encore,Granby · QC,72902.0,20988.0
2021 Chrysler,Pacifica,Saint-Hubert · QC,93216.0,31499.0
2016 Volkswagen,Beetle Convertible,Cowansville · QC,74811.0,23999.0
2019 Chevrolet,Express,Saint-Hyacinthe · QC,99755.0,32894.0
2016 Kia,Soul,Laval · QC,86724.0,14999.0
2016 Nissan,Altima,Laval · QC,128165.0,12999.0
2022 Toyota,Corolla,Saint-Hubert · QC,49137.0,24499.0
2022 Honda,Odyssey,Pincourt · QC,37748.0,44995.0
2021 Hyundai,Kona,Saint-Eustache · QC,77965.0,20594.0
2020 Hyundai,Accent,Saint-Hubert · QC,45762.0,18999.0
2022 Bmw,3 Series,Blainville · QC,16800.0,49550.0
2023 Bmw,X5,Blainville · QC,30000.0,82950.0
2021 Nissan,Versa,Saint-Hubert · QC,83987.0,18999.0
2020 Ford,EcoSport,Saint-Jerome · QC,48544.0,20955.0
2019 Hyundai,Kona,Brossard · QC,21713.0,22975.0
2021 Honda,CR-V,Notre-Dame-des-Prairies · QC,38000.0,31499.0
2022 Hyundai,Kona N,Brossard · QC,17830.0,35985.0
2019 Toyota,Prius Prime,Pincourt · QC,92244.0,22038.0
2018 Hyundai,Elantra,Saint-Jerome · QC,88010.0,14995.0
2021 Mazda,CX-5,Pincourt · QC,71276.0,25477.0
2020 Hyundai,Santa Fe,Saint-Eustache · QC,38561.0,26594.0
2020 Dodge,Grand Caravan,Saint-Hubert · QC,118741.0,25499.0
2018 Volkswagen,Golf,Brossard · QC,102910.0,19495.0
2019 Ram,1500 Classic,Saint-Eustache · QC,125776.0,29995.0
2017 Kia,Soul,Saint-Hubert · QC,55539.0,16499.0
2019 Buick,Regal Sportback,Pincourt · QC,22399.0,26697.0
2018 Volkswagen,Tiguan,Saint-Eustache · QC,116737.0,23495.0
2019 Audi,RS 5 Sportback,Brossard · QC,30969.0,67899.0
2020 Toyota,RAV4 Hybrid,Granby · QC,38034.0,35995.0
2018 Chevrolet,Equinox Premier,Pincourt · QC,29000.0,22537.0
2015 Buick,VERANO SEDAN LEATHER,Pincourt · QC,152000.0,9937.0
2021 Bmw,X1,Saint-Hubert · QC,85189.0,28999.0
2016 Hyundai,SANTA FE SPORT,Blainville · QC,84672.0,15387.0
2018 Toyota,Camry,Brossard · QC,102418.0,21985.0
2021 Bmw,X1,Saint-Hubert · QC,64426.0,29999.0
2019 Toyota,Camry,Pincourt · QC,120347.0,26038.0
2019 Volkswagen,Jetta,Saint-Hubert · QC,47185.0,20999.0
2010 Ford,Fusion,Pincourt · QC,195877.0,5999.0
2021 Hyundai,Venue,Saint-Hubert · QC,85056.0,19999.0
2017 Nissan,Qashqai,Saint-Hubert · QC,94613.0,16999.0
2020 Gmc,Savana Cargo Van,Granby · QC,72800.0,36988.0
2020 Chevrolet,Bolt EV,Saint-Hubert · QC,48288.0,21999.0
2021 Toyota,Corolla Hatchback,Pincourt · QC,21481.0,26038.0
2020 Hyundai,Ioniq Electric,Saint-Hubert · QC,43855.0,23949.0
2021 Ford,F-150,Pincourt · QC,130050.0,35486.0
2019 Mercedes-Benz,GLC,Saint-Hubert · QC,83192.0,29499.0
2015 Mercedes-Benz,GLK-Class,Granby · QC,179535.0,16984.0
2012 Volvo,C30,Pincourt · QC,196265.0,6299.0
2023 Kia,Sorento,Saint-Jerome · QC,18145.0,36795.0
2020 Kia,SEDONA EX/SX,Pincourt · QC,63118.0,31537.0
2020 Hyundai,Elantra,Blainville · QC,65895.0,21986.0
2019 Toyota,Corolla,Saint-Jerome · QC,86538.0,17895.0
